"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name2","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","url","imported_at","match_type","match_value","prescore","score","local_id","current_taxon_id","current_name_string","global_id"
"Melospiza georgiana","Melospiza georgiana",2,"Wikispecies","de550a69-cdbb-54d2-89d9-4b2d01ebab71","Melospiza georgiana","","","","19846",0,"http://species.wikimedia.org/wiki/Melospiza_georgiana","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Melospiza lincolnii","Melospiza lincolnii",2,"Wikispecies","a13a0f0d-4eb6-5a04-8dcf-fb33b1bc8733","Melospiza lincolnii","","","","19847",0,"http://species.wikimedia.org/wiki/Melospiza_lincolnii","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Melospiza melodia","Melospiza melodia",2,"Wikispecies","d71714b7-0efc-5f7f-8646-b94a9bb9c593","Melospiza melodia","","","","19848",0,"http://species.wikimedia.org/wiki/Melospiza_melodia","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Passerculus sandwichensis","Passerculus sandwichensis",2,"Wikispecies","69eb22ee-be06-5ca7-a7a2-81902550885b","Passerculus sandwichensis","","","","19868",0,"http://species.wikimedia.org/wiki/Passerculus_sandwichensis","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Passerella iliaca","Passerella iliaca",2,"Wikispecies","35bbbd04-b6f6-5010-8add-dda9506a6056","Passerella iliaca","","","","19870",0,"http://species.wikimedia.org/wiki/Passerella_iliaca","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Peucaea aestivalis","Peucaea aestivalis",2,"Wikispecies","a7772b97-9990-5764-ad15-74f5cebc7b86","Peucaea aestivalis","","","","19400",0,"http://species.wikimedia.org/wiki/Peucaea_aestivalis","2022-06-10T19:46:45Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Pipilo chlorurus","Pipilo chlorurus",2,"Wikispecies","c9ffc2fa-d861-5cf7-9965-bdc392d120e3","Pipilo chlorurus","","","","19894",0,"http://species.wikimedia.org/wiki/Pipilo_chlorurus","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Pipilo erythrophthalmus","Pipilo erythrophthalmus",2,"Wikispecies","06758909-3be5-5333-9791-c6ab67f3e9f5","Pipilo erythrophthalmus","","","","19896",0,"http://species.wikimedia.org/wiki/Pipilo_erythrophthalmus","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Pipilo maculatus","Pipilo maculatus",2,"Wikispecies","c522d783-695e-58b9-8a6b-ef07d9032f22","Pipilo maculatus","","","","19898",0,"http://species.wikimedia.org/wiki/Pipilo_maculatus","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Poecetes gramineus","Poecetes gramineus",1,"Catalogue of Life Checklist","584a09b1-737d-5065-b4a7-eb994692afb2","Pooecetes gramineus","Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Passeriformes|Emberizidae|Pooecetes|Pooecetes gramineus","unranked|kingdom|phylum|subphylum|infraphylum|parvphylum|gigaclass|megaclass|superclass|class|order|family|genus|species","5T6MX|N|CH2|8V4V3|8V4V5|8VVWB|8VSMX|9CK8W|8VLBH|V2|3RL|9N5|6427W|6VVTQ","6VVTQ",1,NA,"2022-09-02T22:48:12Z",3,"Fuzzy match by canonical form","1|0|0",0.75,NA,NA,NA,NA
"Spizella pallida","Spizella pallida",2,"Wikispecies","6e33020f-93b4-563f-a39f-14aca448dfe5","Spizella pallida","","","","19988",0,"http://species.wikimedia.org/wiki/Spizella_pallida","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
