source,source_binomial
HarrisonGoldspiel_LandVertsNortheast,Nomonyx dominicus
HarrisonGoldspiel_LandVertsNortheast,Oxyura jamaicensis
HarrisonGoldspiel_LandVertsNortheast,Polysticta stelleri
HarrisonGoldspiel_LandVertsNortheast,Somateria mollissima
HarrisonGoldspiel_LandVertsNortheast,Somateria spectabilis
HarrisonGoldspiel_LandVertsNortheast,Spatula clypeata
HarrisonGoldspiel_LandVertsNortheast,Spatula cyanoptera
HarrisonGoldspiel_LandVertsNortheast,Spatula discors
HarrisonGoldspiel_LandVertsNortheast,Spatula querquedula
HarrisonGoldspiel_LandVertsNortheast,Anatidae affinis
HarrisonGoldspiel_LandVertsNortheast,Chaetura pelagica
HarrisonGoldspiel_LandVertsNortheast,Cypseloides niger
HarrisonGoldspiel_LandVertsNortheast,Archilochus alexandri
HarrisonGoldspiel_LandVertsNortheast,Archilochus alexandri
HarrisonGoldspiel_LandVertsNortheast,Calypte anna
HarrisonGoldspiel_LandVertsNortheast,Colibri thalassinus
HarrisonGoldspiel_LandVertsNortheast,Cynanthus latirostris
HarrisonGoldspiel_LandVertsNortheast,Selasphorus calliope
HarrisonGoldspiel_LandVertsNortheast,Selasphorus rufus
HarrisonGoldspiel_LandVertsNortheast,Selasphorus sasin
HarrisonGoldspiel_LandVertsNortheast,Antrostomus carolinensis
HarrisonGoldspiel_LandVertsNortheast,Antrostomus vociferus
HarrisonGoldspiel_LandVertsNortheast,Chordeiles acutipennis
HarrisonGoldspiel_LandVertsNortheast,Chordeiles minor
HarrisonGoldspiel_LandVertsNortheast,Cathartes aura
HarrisonGoldspiel_LandVertsNortheast,Coragyps atratus
HarrisonGoldspiel_LandVertsNortheast,Alca torda
HarrisonGoldspiel_LandVertsNortheast,Alle alle
HarrisonGoldspiel_LandVertsNortheast,Brachyramphus perdix
HarrisonGoldspiel_LandVertsNortheast,Cepphus grylle
HarrisonGoldspiel_LandVertsNortheast,Fratercula arctica
HarrisonGoldspiel_LandVertsNortheast,Fratercula cirrhata
HarrisonGoldspiel_LandVertsNortheast,Synthiloboramphus antiquus
HarrisonGoldspiel_LandVertsNortheast,Uria aalge
HarrisonGoldspiel_LandVertsNortheast,Uria lomvia
HarrisonGoldspiel_LandVertsNortheast,Charadrius hiaticula
HarrisonGoldspiel_LandVertsNortheast,Charadrius melodus
HarrisonGoldspiel_LandVertsNortheast,Charadrius montanus
HarrisonGoldspiel_LandVertsNortheast,Charadrius nivosus
HarrisonGoldspiel_LandVertsNortheast,Charadrius semipalmatus
HarrisonGoldspiel_LandVertsNortheast,Charadrius vociferus
HarrisonGoldspiel_LandVertsNortheast,Charadrius wilsonia
HarrisonGoldspiel_LandVertsNortheast,Pluvialis apricaria
HarrisonGoldspiel_LandVertsNortheast,Pluvialis dominica
HarrisonGoldspiel_LandVertsNortheast,Pluvialis fulva
HarrisonGoldspiel_LandVertsNortheast,Pluvialis squatarola
HarrisonGoldspiel_LandVertsNortheast,Vanellus vanellus
HarrisonGoldspiel_LandVertsNortheast,Haematopus palliatus
HarrisonGoldspiel_LandVertsNortheast,Anous stolidus
HarrisonGoldspiel_LandVertsNortheast,Childonias leucopterus
HarrisonGoldspiel_LandVertsNortheast,Childonias niger
HarrisonGoldspiel_LandVertsNortheast,Chroicocephalus philadelphia
HarrisonGoldspiel_LandVertsNortheast,Chroicocephalus ridibundus
HarrisonGoldspiel_LandVertsNortheast,Gelochelidon nilotica
HarrisonGoldspiel_LandVertsNortheast,Hydrocoleus minutus
HarrisonGoldspiel_LandVertsNortheast,Hydroprogne caspia
HarrisonGoldspiel_LandVertsNortheast,Larus argentatus
HarrisonGoldspiel_LandVertsNortheast,Larus brachyrhynchus
HarrisonGoldspiel_LandVertsNortheast,Larus canus
HarrisonGoldspiel_LandVertsNortheast,Larus crassirostris
HarrisonGoldspiel_LandVertsNortheast,Larus delawarensis
HarrisonGoldspiel_LandVertsNortheast,Larus fuscus
HarrisonGoldspiel_LandVertsNortheast,Larus glaucensens
HarrisonGoldspiel_LandVertsNortheast,Larus glaucoides
HarrisonGoldspiel_LandVertsNortheast,Larus heermanni
HarrisonGoldspiel_LandVertsNortheast,Larus hyperboreus
HarrisonGoldspiel_LandVertsNortheast,Larus marinus
HarrisonGoldspiel_LandVertsNortheast,Larus schistisagus
HarrisonGoldspiel_LandVertsNortheast,Leucophaeus atricilla
HarrisonGoldspiel_LandVertsNortheast,Leucophaeus pipixcan
HarrisonGoldspiel_LandVertsNortheast,Onychoprion anaethetus
HarrisonGoldspiel_LandVertsNortheast,Onychoprion fuscata
HarrisonGoldspiel_LandVertsNortheast,Pagophila eburnea
HarrisonGoldspiel_LandVertsNortheast,Rhodostethia rosea
HarrisonGoldspiel_LandVertsNortheast,Rissa tridactyla
HarrisonGoldspiel_LandVertsNortheast,Rynchops niger
HarrisonGoldspiel_LandVertsNortheast,Sterna dougallii
HarrisonGoldspiel_LandVertsNortheast,Sterna forsteri
HarrisonGoldspiel_LandVertsNortheast,Sterna hirundo
HarrisonGoldspiel_LandVertsNortheast,Sterna paradiseae
HarrisonGoldspiel_LandVertsNortheast,Sternula antillarum
HarrisonGoldspiel_LandVertsNortheast,Thalasseus elegans
HarrisonGoldspiel_LandVertsNortheast,Thalasseus maxima
